"Fig.2 B, Fig3 CD",,,,,,,,,,
monkey,Session,treatment,reward,delay,Reward size,rew_condition,number of .suc trials,number of .error trials,number of .total trials,error rate
RI,1,base,0.25,0,1R,0s-1R,46,2,48,0.041666667
RI,1,base,0.25,3.3,1R,3.3s-1R,53,15,68,0.220588235
RI,1,base,0.25,6.9,1R,6.9s-1R,40,45,85,0.529411765
RI,1,base,0.25,10.5,1R,10.5s-1R,40,52,92,0.565217391
RI,1,base,1,0,4R,0s-4R,45,1,46,0.02173913
RI,1,base,1,3.3,4R,3.3s-4R,38,7,45,0.155555556
RI,1,base,1,6.9,4R,6.9s-4R,41,16,57,0.280701754
RI,1,base,1,10.5,4R,10.5s-4R,43,16,59,0.271186441
RI,2,base,0.25,0,1R,0s-1R,34,4,38,0.105263158
RI,2,base,0.25,3.3,1R,3.3s-1R,48,24,72,0.333333333
RI,2,base,0.25,6.9,1R,6.9s-1R,48,27,75,0.36
RI,2,base,0.25,10.5,1R,10.5s-1R,43,46,89,0.516853933
RI,2,base,1,0,4R,0s-4R,40,5,45,0.111111111
RI,2,base,1,3.3,4R,3.3s-4R,48,17,65,0.261538462
RI,2,base,1,6.9,4R,6.9s-4R,49,20,69,0.289855072
RI,2,base,1,10.5,4R,10.5s-4R,49,37,86,0.430232558
RI,3,base,0.25,0,1R,0s-1R,32,3,35,0.085714286
RI,3,base,0.25,3.3,1R,3.3s-1R,54,11,65,0.169230769
RI,3,base,0.25,6.9,1R,6.9s-1R,47,19,66,0.287878788
RI,3,base,0.25,10.5,1R,10.5s-1R,48,44,92,0.47826087
RI,3,base,1,0,4R,0s-4R,44,2,46,0.043478261
RI,3,base,1,3.3,4R,3.3s-4R,48,6,54,0.111111111
RI,3,base,1,6.9,4R,6.9s-4R,46,26,72,0.361111111
RI,3,base,1,10.5,4R,10.5s-4R,34,14,48,0.291666667
RI,4,5HT4,0.25,0,1R,0s-1R,37,1,38,0.026315789
RI,4,5HT4,0.25,3.3,1R,3.3s-1R,44,9,53,0.169811321
RI,4,5HT4,0.25,6.9,1R,6.9s-1R,48,39,87,0.448275862
RI,4,5HT4,0.25,10.5,1R,10.5s-1R,34,37,71,0.521126761
RI,4,5HT4,1,0,4R,0s-4R,37,0,37,0
RI,4,5HT4,1,3.3,4R,3.3s-4R,42,6,48,0.125
RI,4,5HT4,1,6.9,4R,6.9s-4R,46,13,59,0.220338983
RI,4,5HT4,1,10.5,4R,10.5s-4R,46,15,61,0.245901639
RI,5,veh,0.25,0,1R,0s-1R,56,6,62,0.096774194
RI,5,veh,0.25,3.3,1R,3.3s-1R,39,10,49,0.204081633
